time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Volume,RSI,RSI-based MA,Histogram,MACD,Signal,ATR
2025-05-05T15:22:00-04:00,5688.75,5689.5,5685,5687.25,5680.478112,5693.051094,5667.905129,5705.624077,5655.332146,5718.19706,5642.759164,6927,30.40954296,36.23725478,-1.811764754,-3.805157441,-1.993392686,3.264704387
2025-05-05T15:24:00-04:00,5687.25,5688,5684.25,5685.25,5680.502129,5693.051988,5667.952269,5705.601848,5655.40241,5718.151708,5642.85255,4110,27.84121272,35.30700016,-2.020706548,-4.519275872,-2.498569324,3.29936836
2025-05-05T15:26:00-04:00,5685.5,5688.75,5684.75,5688.25,5680.525902,5693.060013,5667.99179,5705.594125,5655.457678,5718.128237,5642.923566,3240,36.50409885,35.34422318,-1.784085879,-4.728676673,-2.944590793,3.349413477
2025-05-05T15:28:00-04:00,5688.5,5689.5,5686,5686.25,5680.551743,5693.068663,5668.034823,5705.585583,5655.517903,5718.102503,5643.000983,3548,33.60740999,35.4675109,-1.724043756,-5.099645488,-3.375601732,3.360169657
2025-05-05T15:30:00-04:00,5686.25,5688.5,5684.75,5687.5,5680.576008,5693.075202,5668.076813,5705.574396,5655.577619,5718.073591,5643.078424,3533,36.9736647,36.11141781,-1.481260477,-5.227177328,-3.745916852,3.388014682
2025-05-05T15:32:00-04:00,5687.25,5687.5,5685.5,5686.5,5680.588192,5693.07741,5668.098974,5705.566628,5655.609756,5718.055846,5643.120537,1910,35.42618002,35.41311118,-1.334427328,-5.413951012,-4.079523684,3.288870776
2025-05-05T15:34:00-04:00,5686.5,5690,5686,5690,5680.609388,5693.089055,5668.129721,5705.568722,5655.650053,5718.048389,5643.170386,2443,44.22503033,35.85865979,-0.841919192,-5.131922673,-4.290003482,3.33966572
2025-05-05T15:36:00-04:00,5690,5692.5,5689,5691.25,5680.661199,5693.130785,5668.191613,5705.600371,5655.722027,5718.069958,5643.252441,4704,47.00251314,36.68877858,-0.350710659,-4.728391806,-4.377681146,3.351118169
2025-05-05T15:38:00-04:00,5691.5,5692.25,5688.25,5688.5,5680.688906,5693.14928,5668.228531,5705.609655,5655.768156,5718.070029,5643.307782,2888,42.04224352,37.36516758,-0.247486531,-4.68703931,-4.439552779,3.397466871
2025-05-05T15:40:00-04:00,5688.5,5691,5687.75,5689.25,5680.711418,5693.163353,5668.259483,5705.615289,5655.807547,5718.067224,5643.355612,2451,43.78466128,37.7374228,-0.079694018,-4.539170301,-4.459476283,3.386933523
2025-05-05T15:42:00-04:00,5689.25,5690,5685,5685.5,5680.737998,5693.16939,5668.306605,5705.600783,5655.875213,5718.032175,5643.44382,4104,37.68429628,37.37971967,-0.28956749,-4.821435646,-4.531868156,3.502152557
2025-05-05T15:44:00-04:00,5685.5,5685.5,5682,5682.5,5680.754259,5693.148337,5668.360182,5705.542414,5655.966104,5717.936492,5643.572027,5960,33.6456367,37.03157683,-0.667075142,-5.365712083,-4.698636941,3.501998803
2025-05-05T15:46:00-04:00,5682.5,5682.5,5676.75,5682.25,5680.751697,5693.083201,5668.420193,5705.414705,5656.08869,5717.746209,5643.757186,9682,33.32511902,36.78349597,-0.884673267,-5.804478525,-4.919805258,3.662570317
2025-05-05T15:48:00-04:00,5682.25,5682.75,5679.5,5680.5,5680.752472,5693.05499,5668.449954,5705.357509,5656.147436,5717.660027,5643.844917,4534,31.09227466,36.68313458,-1.125569321,-6.326766909,-5.201197588,3.633101009
2025-05-05T15:50:00-04:00,5680.5,5684.5,5675,5675.5,5680.728735,5692.973068,5668.484401,5705.217401,5656.240068,5717.461734,5643.995735,9567,25.7779127,36.35230385,-1.668125286,-7.286354196,-5.61822891,4.052165223
2025-05-05T15:52:00-04:00,5675.5,5677.75,5673.25,5675.25,5680.692104,5692.902063,5668.482145,5705.112022,5656.272186,5717.321981,5644.062227,6770,25.54282911,36.18813359,-1.946351971,-8.051168873,-6.104816903,4.084153421
2025-05-05T15:54:00-04:00,5675,5675.5,5670.25,5672.25,5680.600016,5692.769774,5668.430258,5704.939532,5656.2605,5717.10929,5644.090742,11396,22.84990064,35.21283372,-2.290753293,-8.968258519,-6.677505226,4.167428177
2025-05-05T15:56:00-04:00,5672,5674.25,5670.75,5673.5,5680.557721,5692.70775,5668.407693,5704.857778,5656.257664,5717.007807,5644.107636,5438,26.33481067,34.69336234,-2.271140535,-9.516430895,-7.24529036,4.119754735
2025-05-05T15:58:00-04:00,5673.25,5675,5669.25,5674.25,5680.474461,5692.585125,5668.363797,5704.695789,5656.253133,5716.806453,5644.142469,10881,28.42390951,34.08266554,-2.058721402,-9.818692112,-7.75997071,4.236200826
2025-05-05T16:00:00-04:00,5674.5,5675.5,5669.5,5670.25,5680.430871,5692.526894,5668.334848,5704.622918,5656.238824,5716.718941,5644.142801,5069,24.44258779,33.29812324,-2.162988015,-10.46370573,-8.300717714,4.362186481
2025-05-05T16:02:00-04:00,5670.25,5671,5669.25,5669.75,5680.413852,5692.507334,5668.320371,5704.600815,5656.22689,5716.694297,5644.133408,1658,23.99023971,31.85278105,-2.14524111,-10.9822691,-8.837027991,4.175601732
2025-05-05T16:04:00-04:00,5670,5670,5666,5668.25,5680.377184,5692.471321,5668.283046,5704.565459,5656.188909,5716.659597,5644.094771,3031,22.6367776,30.11237137,-2.138004751,-11.50953393,-9.371529179,4.163058751
2025-05-05T16:06:00-04:00,5668.25,5670.75,5667.25,5670.75,5680.357596,5692.449485,5668.265707,5704.541373,5656.173819,5716.633262,5644.08193,1853,29.7503702,29.23438042,-1.768512528,-11.58216984,-9.813657311,4.115697412
2025-05-05T16:08:00-04:00,5670.5,5671.75,5667.5,5667.75,5680.341535,5692.432406,5668.250664,5704.523277,5656.159793,5716.614148,5644.068921,1446,26.59064548,28.00623644,-1.681261998,-11.91523481,-10.23397281,4.125290454
2025-05-05T16:10:00-04:00,5667.75,5669,5667.25,5667.75,5680.332465,5692.423519,5668.241411,5704.514573,5656.150357,5716.605627,5644.059304,752,26.59064548,27.21383281,-1.50411799,-12.1141203,-10.61000231,3.95562685
2025-05-05T16:12:00-04:00,5667.5,5668,5667.25,5667.25,5680.327802,5692.419132,5668.236471,5704.510463,5656.145141,5716.601794,5644.05381,372,26.05573837,26.67169721,-1.320027783,-12.26003704,-10.94000925,3.726653504
2025-05-05T16:14:00-04:00,5667.5,5668.75,5667.25,5668,5680.317814,5692.409334,5668.226294,5704.500854,5656.134774,5716.592374,5644.043254,830,28.38298107,26.31868736,-1.022971215,-12.21872327,-11.19575206,3.567606825
2025-05-05T16:16:00-04:00,5668,5669,5667.25,5667.5,5680.312515,5692.404167,5668.220862,5704.49582,5656.129209,5716.587473,5644.037556,438,27.7558121,26.0803686,-0.778385403,-12.16873381,-11.39034841,3.437777766
